Aircraft Type,Country,Type_of_Travellers,Route,Seat_Types,Seat Comfort,Date Flown,Cabin Staff Service,Ground Service,Food & Beverages,Wifi & Connectivity,Inflight Entertainment,Value For Money,Recommended
A320,Canada,Family Leisure,Vancouver to Barcelona via London,Economy Class,3.00,23-May,2.00,1.00,2.00,3.00,3.00,1.00,no
A320,United States,Family Leisure,Boston to Cairo via London,Economy Class,1.00,23-Jun,1.00,1.00,1.00,1.00,1.00,1.00,no
A320,Australia,Couple Leisure,London to Santorini,Economy Class,1.00,23-May,1.00,1.00,1.00,1.00,1.00,1.00,no
A320,United States,Family Leisure,Heathrow to Mumbai,Economy Class,3.00,23-Feb,1.00,1.00,1.00,3.00,3.00,1.00,no
A320,Cyprus,Solo Leisure,London to Larnaca,Economy Class,5.00,23-Mar,5.00,5.00,4.00,5.00,4.70,5.00,yes
A320,United States,Family Leisure,Nice to London Heathrow,Economy Class,1.00,23-May,1.00,1.00,1.00,1.00,1.00,1.00,no
A320,Italy,Solo Leisure,Las Vegas to Venice,Economy Class,1.00,23-May,1.00,1.00,1.00,1.00,1.00,1.00,no
Boeing 777-300,United Kingdom,Family Leisure,London to New York,Premium Economy,4.00,23-May,4.00,4.00,3.00,5.00,5.00,4.00,yes
A320,Canada,Couple Leisure,Lisbon to London ,Economy Class,1.00,23-May,3.00,1.00,1.30,1.00,1.00,2.00,no
A320,United States,Couple Leisure,Dallas to Madrid via London,Premium Economy,1.00,23-May,1.00,1.00,1.00,1.00,1.00,1.00,no
A320,Spain,Couple Leisure,London to Valencia,Economy Class,4.00,23-Mar,4.00,5.00,4.00,3.70,4.70,4.00,yes
A320,Chile,Solo Leisure,London to Glasgow,Economy Class,5.00,23-May,5.00,5.00,5.00,3.70,5.00,5.00,yes
A320 Finnair,United Kingdom,Business,London Heathrow to Malaga ,Business Class,2.00,23-May,2.00,1.00,3.00,1.00,1.00,1.00,no
A319,United Kingdom,Couple Leisure,London to Nice,Business Class,2.00,23-May,3.00,4.00,3.00,1.00,2.70,1.00,no
A320,United States,Solo Leisure,London to San Francisco,Business Class,3.00,22-Sep,1.00,2.00,1.00,1.70,4.00,2.00,no
A320,United States,Solo Leisure,London to Dallas,Economy Class,1.00,23-Apr,1.00,1.00,3.00,1.00,3.00,1.00,no
A320,United Kingdom,Business,London to Madrid,Economy Class,4.00,23-May,3.00,1.00,1.00,1.00,1.30,1.00,no
A320,United Kingdom,Solo Leisure,London to Belfast,Economy Class,1.00,23-May,3.00,1.00,3.00,1.00,1.00,1.00,no
A320,United States,Couple Leisure,Los Angeles to London,Business Class,5.00,23-May,5.00,1.00,4.00,2.00,5.00,1.00,no
A320,United Kingdom,Couple Leisure,Atlanta to London,Business Class,4.00,23-Apr,3.00,1.00,1.00,1.00,2.00,1.00,no
A320,United States,Couple Leisure,London to Johannesburg,Business Class,1.00,23-May,2.30,1.30,2.00,1.00,1.70,1.00,no
Boeing 787-9,Australia,Solo Leisure,Sydney to London via Singapore,Business Class,1.00,23-May,1.00,1.00,1.00,1.00,1.00,1.00,no
A320,United Kingdom,Solo Leisure,Heathrow to Faro,Business Class,1.00,23-May,1.00,1.00,1.00,1.00,1.00,1.00,no
A320,United Kingdom,Business,London to Barcelona,Economy Class,1.00,23-May,2.30,1.00,2.00,1.00,1.70,1.00,no
